figure_id,aggregation_scale,aggregation_unit,mechanism,varied_parameter,perturbation_factor,clock_rate,response_rate,coupling_strength,source_amplitude,source_width,front_slope_abs,normalized_correlation,software_version
F4,0.0024173154808041037,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0006040854681640395,1.0.0
F4,0.0025118864315095794,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0006277087915096402,1.0.0
F4,0.0026101572156825357,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0006522555248197337,1.0.0
F4,0.0027122725793320298,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0006777617311186646,1.0.0
F4,0.002818382931264455,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0007042648792855433,1.0.0
F4,0.0029286445646252374,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0007318038986544595,1.0.0
F4,0.003043219887107722,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0007604192357196782,1.0.0
F4,0.0031622776601683794,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0007901529130253104,1.0.0
F4,0.003285993247600654,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0008210485903205056,1.0.0
F4,0.003414548873833601,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.000853151628067983,1.0.0
F4,0.0035481338923357532,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.000886509153394166,1.0.0
F4,0.0036869450645195733,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0009211701285725127,1.0.0
F4,0.003831186849557289,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0009571854221350762,1.0.0
F4,0.003981071705534973,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0009946078827131055,1.0.0
F4,0.004136820402388507,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.001033492415706383,1.0.0
F4,0.004298662347082277,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0010738960628898786,1.0.0
F4,0.0044668359215096305,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0011158780850654137,1.0.0
F4,0.004641588833612777,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.001159500047874018,1.0.0
F4,0.004823178482239309,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.001204825910884666,1.0.0
F4,0.005011872336272725,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0012519221200835151,1.0.0
F4,0.005207948328595465,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.00130085770388777,1.0.0
F4,0.0054116952654646375,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.001351704372816176,1.0.0
F4,0.005623413251903491,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0014045366229507028,1.0.0
F4,0.005843414133735175,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0014594318433285292,1.0.0
F4,0.006072021956909884,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0015164704274102103,1.0.0
F4,0.006309573444801929,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.001575735888772245,1.0.0
